STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-03-2010,30.2,2033,2033,1.74,0,0,,52,40,80,80,0,51.9,74.9,1,,1,,1,,,,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-03-2010,17.45,1608,1607,0.37,0,0,,50,42,40,40,0,28,34.9,1,,,,1,,,,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-03-2010,20.8,2109,2108,0.27,0,0,,45,42,30,30,0,32,40,1,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-03-2010,11.63,27,1611,0,0,0,,63,41,40,30,0,21,34.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-03-2010,6.71,1730,1812,0,0,0,,63,37,200,200,0,19.9,23,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-03-2010,7.16,1655,1417,0,0,0,,66,40,190,200,0,19.9,23.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-03-2010,6.26,1820,1816,0,0,0,,69,42,190,190,0,17,21,,,,,,,,1,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-03-2010,9.84,1744,1724,0,0,0,,70,45,200,190,0,23,29.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-03-2010,6.71,846,1656,0,0,0,,58,45,90,140,0,17,23.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-03-2010,11.63,2306,2206,1.03,0,0,,57,48,160,140,0,23.9,32,1,1,1,,1,,,,1,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-03-2010,10.74,2344,2343,0.1,0,0,,51,45,300,300,0,29.1,38,1,,,,1,,,,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-03-2010,20.36,1110,831,0,0,0,,62,43,310,310,0,34.9,46.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-03-2010,10.51,2356,2347,0.01,0,0,,54,41,190,210,0,21,31.1,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-03-2010,20.13,1049,1044,0.05,0,0,,55,34,360,360,0,30,36.9,1,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-03-2010,10.29,646,656,0,0,0,,40,29,20,30,0,17.9,21,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-03-2010,16.55,2150,2224,0.14,0,0,,48,35,140,140,0,30,40,1,,,,1,,,,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",29-03-2010,13.42,637,423,2.08,0,0,,52,47,170,150,0,28,36.9,1,,,,1,,,,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",30-03-2010,20.36,1040,444,2.29,0,0,,52,43,360,30,0,32,40,1,,,,1,,,,,,1,1,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",31-03-2010,16.78,544,544,0.01,0,0,,59,44,340,340,0,29.1,34.9,1,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",01-04-2010,8.95,605,601,0,0,0,,63,45,20,10,0,15,17.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",02-04-2010,5.14,1722,1716,0,0,0,,61,42,170,170,0,10.1,13,1,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",03-04-2010,7.83,1841,1840,0,0,0,,51,44,160,160,0,16.1,21,1,1,,,,,1,1,1,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",04-04-2010,5.59,1033,1024,0,0,0,,73,47,350,340,0,15,19.9,,1,,,,,1,1,1,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-04-2010,10.51,1641,1619,0,0,0,,68,52,190,190,0,33.1,40.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-04-2010,5.14,1303,1302,0,0,0,,73,51,150,150,0,14.1,16.1,1,,,,,,1,1,,,1,,,1,,,,,
